epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3637,0.68398,0.69713,2.47888,0.91657,0.7989,0.84572,0.62641,0.74461,0.47907,2.52619,0.000192308,0.000192308,0.000192308
2,20.8279,0.66703,0.68126,2.44954,0.909,0.79342,0.84065,0.62603,0.7422,0.48195,2.54935,0.000391921,0.000391921,0.000391921
3,30.0048,0.68335,0.70032,2.48685,0.90387,0.79071,0.83558,0.62382,0.75478,0.47534,2.5897,0.000589972,0.000589972,0.000589972
4,39.0326,0.68108,0.69784,2.49046,0.86622,0.78976,0.82601,0.60298,0.75421,0.5299,2.61228,0.000785291,0.000785291,0.000785291
5,47.8819,0.68978,0.69994,2.50124,0.85642,0.78062,0.81526,0.59405,0.79539,0.53637,2.67191,0.00097672,0.00097672,0.00097672
6,57.0282,0.69425,0.70507,2.5044,0.89494,0.78428,0.83427,0.61642,0.77617,0.512,2.62625,0.00116313,0.00116313,0.00116313
7,65.7121,0.70285,0.72169,2.51343,0.91014,0.77148,0.81856,0.60049,0.79498,0.5267,2.64012,0.00134342,0.00134342,0.00134342
8,74.2998,0.6957,0.71225,2.50142,0.86604,0.73126,0.79623,0.58477,0.78724,0.57804,2.61982,0.00151654,0.00151654,0.00151654
9,83.255,0.70419,0.70491,2.52146,0.89602,0.7404,0.81135,0.58905,0.80843,0.57406,2.64251,0.00168146,0.00168146,0.00168146
10,92.0049,0.71922,0.74528,2.55245,0.87562,0.7851,0.82066,0.59058,0.81141,0.56547,2.69804,0.00183723,0.00183723,0.00183723
11,101.044,0.73592,0.74677,2.57597,0.90617,0.76051,0.808,0.59074,0.80979,0.54422,2.63564,0.00180902,0.00180902,0.00180902
12,109.619,0.72123,0.74462,2.54789,0.86863,0.73737,0.80409,0.58816,0.78888,0.55843,2.65377,0.00177051,0.00177051,0.00177051
13,118.507,0.71833,0.7294,2.55656,0.86289,0.75503,0.8191,0.59224,0.81213,0.58066,2.69585,0.00172897,0.00172897,0.00172897
14,127.057,0.72271,0.73244,2.54351,0.88503,0.7177,0.79436,0.59548,0.75617,0.57231,2.55534,0.00168455,0.00168455,0.00168455
15,135.779,0.71361,0.72137,2.53821,0.89912,0.78211,0.82052,0.61168,0.77912,0.52046,2.66804,0.00163742,0.00163742,0.00163742
16,144.669,0.71289,0.73497,2.5259,0.87575,0.77879,0.82262,0.60574,0.80082,0.53227,2.64043,0.00158779,0.00158779,0.00158779
17,153.313,0.70095,0.71247,2.51614,0.92167,0.73857,0.8209,0.60974,0.77065,0.54394,2.59482,0.00153583,0.00153583,0.00153583
18,162.044,0.70406,0.71328,2.51613,0.86048,0.77798,0.8194,0.5958,0.78232,0.54542,2.62702,0.00148175,0.00148175,0.00148175
19,170.62,0.70502,0.73673,2.51189,0.88132,0.76027,0.81534,0.60163,0.77477,0.54357,2.58704,0.00142578,0.00142578,0.00142578
20,179.399,0.69331,0.72449,2.50264,0.91503,0.78428,0.82828,0.61241,0.78318,0.51965,2.603,0.00136813,0.00136813,0.00136813
21,188.173,0.6964,0.72221,2.50439,0.85161,0.76051,0.80605,0.58631,0.79623,0.56471,2.66477,0.00130902,0.00130902,0.00130902
22,197.027,0.68499,0.70202,2.49059,0.8495,0.78426,0.82214,0.59117,0.81643,0.55662,2.69782,0.00124869,0.00124869,0.00124869
23,205.783,0.67175,0.68018,2.46053,0.91025,0.79729,0.84136,0.62154,0.76259,0.49718,2.61752,0.00118738,0.00118738,0.00118738
24,214.392,0.67063,0.68627,2.47322,0.91404,0.7989,0.82789,0.62023,0.76473,0.48844,2.65468,0.00112533,0.00112533,0.00112533
25,223.341,0.67036,0.67963,2.4649,0.89003,0.78421,0.82616,0.60327,0.80176,0.55256,2.75129,0.00106279,0.00106279,0.00106279
26,232.082,0.67335,0.68823,2.47074,0.89917,0.78062,0.8281,0.59742,0.81079,0.50817,2.7497,0.001,0.001,0.001
27,240.735,0.65926,0.66288,2.44516,0.8799,0.77687,0.82088,0.60731,0.78304,0.51502,2.62411,0.000937211,0.000937211,0.000937211
28,249.658,0.65582,0.66364,2.44861,0.87276,0.78998,0.82201,0.59658,0.79818,0.52821,2.66379,0.000874668,0.000874668,0.000874668
29,258.372,0.66602,0.69582,2.46433,0.89074,0.79707,0.82975,0.61424,0.77493,0.4967,2.64126,0.00081262,0.00081262,0.00081262
30,267.3,0.64962,0.66616,2.42736,0.87951,0.78733,0.82699,0.60827,0.78768,0.49003,2.63704,0.000751311,0.000751311,0.000751311
31,275.91,0.65426,0.67108,2.43617,0.91294,0.79159,0.83954,0.61687,0.78456,0.50206,2.65147,0.000690984,0.000690984,0.000690984
32,284.504,0.64878,0.66957,2.42966,0.91268,0.78611,0.83689,0.61004,0.79384,0.49279,2.69196,0.000631877,0.000631877,0.000631877
33,293.421,0.65896,0.67961,2.43868,0.91205,0.77726,0.83445,0.61329,0.76924,0.49699,2.6458,0.000574222,0.000574222,0.000574222
34,302.145,0.6405,0.6649,2.41403,0.89904,0.78142,0.84021,0.6106,0.77333,0.50145,2.65178,0.000518248,0.000518248,0.000518248
35,310.837,0.65309,0.67924,2.4344,0.90739,0.78814,0.83797,0.62425,0.74776,0.47629,2.57365,0.000464175,0.000464175,0.000464175
36,319.314,0.63195,0.64018,2.41198,0.93107,0.78428,0.84383,0.63183,0.75598,0.46567,2.58943,0.000412216,0.000412216,0.000412216
37,327.799,0.63783,0.65542,2.41302,0.90802,0.79342,0.84649,0.62205,0.76762,0.4731,2.63752,0.000362578,0.000362578,0.000362578
38,336.496,0.63415,0.64621,2.40553,0.91649,0.78251,0.84144,0.62476,0.75458,0.48253,2.61695,0.000315455,0.000315455,0.000315455
39,344.992,0.62318,0.65053,2.39306,0.92438,0.78215,0.83326,0.62748,0.74479,0.47941,2.59651,0.000271033,0.000271033,0.000271033
40,353.709,0.61169,0.63393,2.37233,0.91709,0.78863,0.83886,0.62677,0.75287,0.47813,2.61607,0.000229489,0.000229489,0.000229489
41,362.491,0.62433,0.65017,2.40762,0.92055,0.80622,0.84124,0.62355,0.75532,0.47292,2.62818,0.000190985,0.000190985,0.000190985
42,371.357,0.62377,0.64262,2.39429,0.9117,0.80256,0.83885,0.62508,0.76048,0.4742,2.63758,0.000155674,0.000155674,0.000155674
43,380.263,0.60546,0.62382,2.36245,0.92175,0.79682,0.83992,0.62074,0.76057,0.48163,2.64197,0.000123695,0.000123695,0.000123695
44,388.953,0.62129,0.64365,2.38978,0.92148,0.79385,0.84164,0.61944,0.76623,0.48203,2.65353,9.51749e-05,9.51749e-05,9.51749e-05
45,397.811,0.6082,0.63542,2.37851,0.91816,0.7989,0.84282,0.62331,0.76305,0.47472,2.6436,7.02254e-05,7.02254e-05,7.02254e-05
46,406.476,0.61268,0.63357,2.36435,0.92557,0.79566,0.84114,0.62588,0.75858,0.47,2.63895,4.89454e-05,4.89454e-05,4.89454e-05
47,415.317,0.60725,0.62248,2.35969,0.92176,0.79688,0.84085,0.6247,0.75928,0.47192,2.63807,3.14188e-05,3.14188e-05,3.14188e-05
48,424.132,0.63792,0.66379,2.4287,0.91888,0.80073,0.84141,0.62429,0.75933,0.47187,2.63829,1.77147e-05,1.77147e-05,1.77147e-05
49,432.778,0.61325,0.63065,2.38539,0.92157,0.79478,0.8415,0.62566,0.75978,0.47146,2.63779,7.88729e-06,7.88729e-06,7.88729e-06
50,441.572,0.62278,0.6417,2.38422,0.92349,0.79442,0.84212,0.62546,0.76015,0.47182,2.63924,1.97527e-06,1.97527e-06,1.97527e-06
